postal code,latitude,longitude
85207,27.2303,-109.9923
85207,27.3367,-109.9917
85207,27.2903,-109.9328
85207,27.2611,-109.9331
85207,27.2276,-110.0182
85207,27.2716,-109.9705
85207,27.7928,-109.8867
85207,27.2716,-109.9705
85207,27.2625,-109.9136
85207,27.2716,-109.9705
85207,27.1204,-109.9534
85207,27.2716,-109.9705
85207,27.2636,-109.9492
85207,27.2716,-109.9705
85207,27.2781,-109.9964
85207,27.2716,-109.9705
85207,27.2906,-109.9939
85207,27.2716,-109.9705
85207,27.2083,-109.9258
85207,27.2716,-109.9705
85207,27.2256,-109.9422
85207,27.2716,-109.9705
85207,27.2356,-109.9319
85207,27.2716,-109.9705
85207,27.7928,-109.8867
85207,27.2716,-109.9705
85207,27.3,-109.9742
85207,27.2716,-109.9705
85207,27.2669,-109.9733
85207,27.2716,-109.9705
85207,27.2959,-110.0389
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.3169,-109.9878
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2433,-109.9447
85207,27.2716,-109.9705
85207,27.1799,-110.097
85207,27.2716,-109.9705
85207,27.2311,-109.9333
85207,27.2716,-109.9705
85207,27.2111,-109.8922
85207,27.2716,-109.9705
85207,27.2615,-109.9114
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.23,-109.8994
85207,27.2792,-109.9842
85207,27.2716,-109.9705
85207,27.3403,-110.0156
85207,27.2716,-109.9705
85207,27.545,-109.9667
85207,27.2716,-109.9705
85207,27.2269,-109.8922
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
85207,27.2716,-109.9705
